Organization Name,Total Stability Rate (All Students),Total Student Mobility Rate (All students),Total Instances of Mobility (All students),Total Mobility Incidence Rate (All students),Students with Disabilities Pupil Count,Students with Disabilities Stable Student Count,Students with Disabilities Stability Rate,Students with Disabilities Mobile Student Count,Students with Disabilities Student Mobility Rate,Students with Disabilities Instances of Mobility,Students with Disabilities Mobility Incidence Rate,English Language Learners Pupil Count,English Language Learners Stable Student Count,English Language Learners Stability Rate,English Language Learners Mobile Student Count,English Language Learners Student Mobility Rate,English Language Learners Instances of Mobility,English Language Learners Mobility Incidence Rate,Economically Disadvantaged Pupil Count,Economically Disadvantaged Stable Student Count,Economically Disadvantaged Stability Rate,Economically Disadvantaged Mobile Student Count,Economically Disadvantaged Student Mobility Rate,Economically Disadvantaged Instances of Mobility,Economically Disadvantaged Mobility Incidence Rate,Migrant Pupil Count,Migrant Stable Student Count,Migrant Stability Rate,Migrant Mobile Student Count,Migrant Student Mobility Rate,Migrant Instances of Mobility,Migrant Mobility Incidence Rate,Title 1 Pupil Count,Title 1 Stable Student Count,Title 1 Pupil Stability Rate,Title 1 Mobile Student Count,Title 1 Student Mobility Rate,Title 1 Instances of Mobility,Title 1 Mobility Incidence Rate,Homeless Pupil Count,Homeless Stable Student Count,Homeless Stability Rate,Homeless Mobile Student Count,Homeless Student Mobility Rate,Homeless Instances of Mobility,Homeless Mobility Incidence Rate,Gifted & Talented Pupil Count,Gifted & Talented Stable Student Count,Gifted & Talented Stability Rate,Gifted & Talented Mobile Student Count,Gifted & Talented Student Mobility Rate,Gifted & Talented Instances of Mobility,Gifted & Talented Mobility Incidence Rate
NORWOOD R-2J,80.30%,19.70%,67,25.40%,32,24,75.00%,8,25.00%,12,37.50%,14,8,57.10%,6,0.429,6,42.90%,130,95,73.10%,35,0.27,48,36.90%,0,0,0.00%,0,0.00%,0,0.00%,105,84,80.00%,21,20.00%,29,27.60%,9,6,66.70%,3,0.33,3,33.30%,16,15,93.80%,1,6.30%,1,6.30%
JULESBURG RE-1,76.40%,23.60%,173,24.90%,102,80,78.40%,22,21.60%,23,22.50%,31,25,80.60%,6,0.194,7,22.60%,248,176,71.00%,72,0.29,78,31.50%,8,6,75.00%,2,25.00%,2,25.00%,31,29,93.50%,2,6.50%,2,6.50%,0,0,0.00%,0,0.00,0,0.00%,10,10,100.00%,0,0.00%,0,0.00%
REVERE SCHOOL DISTRICT,79.60%,20.40%,34,23.90%,26,20,76.90%,6,23.10%,6,23.10%,0,0,0.00%,0,0,0,0.00%,90,71,78.90%,19,0.21,21,23.30%,0,0,0.00%,0,0.00%,0,0.00%,7,5,71.40%,2,28.60%,4,57.10%,25,17,68.00%,8,0.32,10,40.00%,3,3,100.00%,0,0.00%,0,0.00%
SUMMIT RE-1,86.20%,13.80%,580,15.70%,413,367,88.90%,46,11.10%,48,11.60%,963,830,86.20%,133,0.138,157,16.30%,"1,329","1,142",85.90%,187,0.14,215,16.20%,0,0,0.00%,0,0.00%,0,0.00%,139,124,89.20%,15,10.80%,15,10.80%,24,10,41.70%,14,0.58,15,62.50%,334,315,94.30%,19,5.70%,19,5.70%
CRIPPLE CREEK-VICTOR RE-1,61.40%,38.60%,215,46.90%,63,31,49.20%,32,50.80%,41,65.10%,3,1,33.30%,2,0.667,2,66.70%,316,182,57.60%,134,0.42,168,53.20%,0,0,0.00%,0,0.00%,0,0.00%,276,166,60.10%,110,39.90%,141,51.10%,29,19,65.50%,10,0.35,15,51.70%,11,9,81.80%,2,18.20%,2,18.20%
WOODLAND PARK RE-2,79.50%,20.50%,675,23.70%,248,191,77.00%,57,23.00%,66,26.60%,74,54,73.00%,20,0.27,22,29.70%,919,692,75.30%,227,0.25,280,30.50%,0,0,0.00%,0,0.00%,0,0.00%,166,146,88.00%,20,12.00%,27,16.30%,29,10,34.50%,19,0.66,29,100.00%,70,70,100.00%,0,0.00%,0,0.00%
AKRON R-1,83.00%,17.00%,75,18.50%,62,45,72.60%,17,27.40%,17,27.40%,19,17,89.50%,2,0.105,2,10.50%,231,180,77.90%,51,0.22,53,22.90%,15,12,80.00%,3,20.00%,3,20.00%,95,78,82.10%,17,17.90%,18,18.90%,18,10,55.60%,8,0.44,9,50.00%,13,13,100.00%,0,0.00%,0,0.00%
ARICKAREE R-2,84.10%,15.90%,19,17.80%,10,8,80.00%,2,20.00%,2,20.00%,34,20,58.80%,14,0.412,16,47.10%,61,45,73.80%,16,0.26,18,29.50%,29,18,62.10%,11,37.90%,13,44.80%,8,6,75.00%,2,25.00%,2,25.00%,3,0,0.00%,3,1.00,5,166.70%,3,3,100.00%,0,0.00%,0,0.00%
OTIS R-3,88.90%,11.10%,29,11.50%,32,30,93.80%,2,6.30%,2,6.30%,2,2,100.00%,0,0,0,0.00%,124,102,82.30%,22,0.18,23,18.50%,5,0,0.00%,5,100.00%,5,100.00%,4,4,100.00%,0,0.00%,0,0.00%,12,6,50.00%,6,0.50,6,50.00%,6,6,100.00%,0,0.00%,0,0.00%
LONE STAR 101,90.20%,9.80%,14,11.50%,19,16,84.20%,3,15.80%,4,21.10%,10,10,100.00%,0,0,0,0.00%,62,52,83.90%,10,0.16,12,19.40%,0,0,0.00%,0,0.00%,0,0.00%,4,4,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,2,2,100.00%,0,0.00%,0,0.00%
WOODLIN R-104,83.20%,16.80%,24,20.20%,14,10,71.40%,4,28.60%,4,28.60%,2,2,100.00%,0,0,0,0.00%,66,58,87.90%,8,0.12,9,13.60%,2,2,100.00%,0,0.00%,0,0.00%,119,99,83.20%,20,16.80%,24,20.20%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
WELD COUNTY RE-1,81.40%,18.60%,478,22.20%,232,183,78.90%,49,21.10%,58,25.00%,412,347,84.20%,65,0.158,82,19.90%,"1,186",969,81.70%,217,0.18,269,22.70%,130,98,75.40%,32,24.60%,40,30.80%,63,58,92.10%,5,7.90%,7,11.10%,60,27,45.00%,33,0.55,48,80.00%,0,0,0.00%,0,0.00%,0,0.00%
EATON RE-2,91.30%,8.70%,200,9.70%,184,164,89.10%,20,10.90%,24,13.00%,136,121,89.00%,15,0.11,18,13.20%,706,626,88.70%,80,0.11,94,13.30%,35,29,82.90%,6,17.10%,6,17.10%,100,95,95.00%,5,5.00%,5,5.00%,21,9,42.90%,12,0.57,18,85.70%,132,128,97.00%,4,3.00%,4,3.00%
WELD COUNTY SCHOOL DISTRICT RE-3J,84.60%,15.40%,457,17.20%,248,198,79.80%,50,20.20%,60,24.20%,457,403,88.20%,54,0.118,58,12.70%,"1,005",871,86.70%,134,0.13,150,14.90%,40,31,77.50%,9,22.50%,12,30.00%,246,222,90.20%,24,9.80%,26,10.60%,58,25,43.10%,33,0.57,38,65.50%,80,78,97.50%,2,2.50%,2,2.50%
WINDSOR RE-4,87.20%,12.80%,914,14.20%,549,473,86.20%,76,13.80%,84,15.30%,126,87,69.00%,39,0.31,47,37.30%,"1,075",880,81.90%,195,0.18,230,21.40%,11,4,36.40%,7,63.60%,10,90.90%,204,176,86.30%,28,13.70%,33,16.20%,36,15,41.70%,21,0.58,27,75.00%,278,276,99.30%,2,0.70%,2,0.70%
JOHNSTOWN-MILLIKEN RE-5J,87.00%,13.00%,610,14.80%,422,351,83.20%,71,16.80%,77,18.20%,268,233,86.90%,35,0.131,43,16.00%,"1,337","1,144",85.60%,193,0.14,228,17.10%,14,9,64.30%,5,35.70%,5,35.70%,108,98,90.70%,10,9.30%,11,10.20%,9,4,44.40%,5,0.56,6,66.70%,132,129,97.70%,3,2.30%,3,2.30%
GREELEY 6,83.00%,17.00%,"4,981",20.30%,"2,695","2,162",80.20%,533,19.80%,632,23.50%,"5,934","4,941",83.30%,993,0.167,"1,175",19.80%,"15,457","12,675",82.00%,"2,782",0.18,"3,356",21.70%,750,466,62.10%,284,37.90%,338,45.10%,"8,531","6,830",80.10%,"1,701",19.90%,"2,038",23.90%,490,212,43.30%,278,0.57,394,80.40%,"1,093","1,044",95.50%,49,4.50%,52,4.80%
PLATTE VALLEY RE-7,88.90%,11.10%,154,12.40%,114,99,86.80%,15,13.20%,16,14.00%,128,109,85.20%,19,0.148,22,17.20%,503,437,86.90%,66,0.13,73,14.50%,43,35,81.40%,8,18.60%,8,18.60%,542,474,87.50%,68,12.50%,79,14.60%,20,16,80.00%,4,0.20,8,40.00%,56,56,100.00%,0,0.00%,0,0.00%
WELD COUNTY S/D RE-8,84.00%,16.00%,475,18.60%,244,194,79.50%,50,20.50%,57,23.40%,759,645,85.00%,114,0.15,141,18.60%,"1,327","1,151",86.70%,176,0.13,215,16.20%,102,65,63.70%,37,36.30%,50,49.00%,"1,067",896,84.00%,171,16.00%,202,18.90%,81,37,45.70%,44,0.54,62,76.50%,100,95,95.00%,5,5.00%,5,5.00%
AULT-HIGHLAND RE-9,85.00%,15.00%,176,18.20%,102,87,85.30%,15,14.70%,18,17.60%,125,103,82.40%,22,0.176,24,19.20%,480,391,81.50%,89,0.19,117,24.40%,18,15,83.30%,3,16.70%,4,22.20%,446,366,82.10%,80,17.90%,104,23.30%,26,14,53.80%,12,0.46,25,96.20%,34,32,94.10%,2,5.90%,2,5.90%
BRIGGSDALE RE-10,87.10%,12.90%,25,13.40%,24,19,79.20%,5,20.80%,5,20.80%,3,3,100.00%,0,0,0,0.00%,63,55,87.30%,8,0.13,8,12.70%,0,0,0.00%,0,0.00%,0,0.00%,10,9,90.00%,1,10.00%,1,10.00%,0,0,0.00%,0,0.00,0,0.00%,2,2,100.00%,0,0.00%,0,0.00%
PRAIRIE RE-11,92.10%,7.90%,19,8.80%,19,18,94.70%,1,5.30%,1,5.30%,0,0,0.00%,0,0,0,0.00%,52,48,92.30%,4,0.08,5,9.60%,0,0,0.00%,0,0.00%,0,0.00%,33,33,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,13,13,100.00%,0,0.00%,0,0.00%
PAWNEE RE-12,79.40%,20.60%,21,21.60%,10,9,90.00%,1,10.00%,1,10.00%,0,0,0.00%,0,0,0,0.00%,51,35,68.60%,16,0.31,16,31.40%,7,0,0.00%,7,100.00%,7,100.00%,97,77,79.40%,20,20.60%,21,21.60%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
YUMA 1,87.20%,12.80%,128,15.00%,97,85,87.60%,12,12.40%,14,14.40%,328,281,85.70%,47,0.143,60,18.30%,518,437,84.40%,81,0.16,89,17.20%,80,51,63.80%,29,36.30%,35,43.80%,853,744,87.20%,109,12.80%,128,15.00%,35,10,28.60%,25,0.71,28,80.00%,51,47,92.20%,4,7.80%,5,9.80%
WRAY RD-2,85.70%,14.30%,113,16.50%,90,78,86.70%,12,13.30%,15,16.70%,113,95,84.10%,18,0.159,23,20.40%,395,331,83.80%,64,0.16,76,19.20%,23,15,65.20%,8,34.80%,10,43.50%,412,361,87.60%,51,12.40%,59,14.30%,19,5,26.30%,14,0.74,18,94.70%,14,12,85.70%,2,14.30%,2,14.30%
IDALIA RJ-3,91.00%,9.00%,20,9.00%,22,20,90.90%,2,9.10%,2,9.10%,39,34,87.20%,5,0.128,5,12.80%,136,121,89.00%,15,0.11,15,11.00%,13,10,76.90%,3,23.10%,3,23.10%,15,15,100.00%,0,0.00%,0,0.00%,2,1,50.00%,1,0.50,1,50.00%,8,8,100.00%,0,0.00%,0,0.00%
LIBERTY J-4,88.20%,11.80%,10,13.20%,4,4,100.00%,0,0.00%,0,0.00%,5,1,20.00%,4,0.8,4,80.00%,28,20,71.40%,8,0.29,9,32.10%,5,2,40.00%,3,60.00%,3,60.00%,7,7,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,1,1,100.00%,0,0.00%,0,0.00%
CHARTER SCHOOL INSTITUTE,82.70%,17.30%,"3,598",19.40%,"1,233","1,044",84.70%,189,15.30%,206,16.70%,"3,951","3,220",81.50%,731,0.185,847,21.40%,"7,741","6,421",82.90%,"1,320",0.17,"1,526",19.70%,73,59,80.80%,14,19.20%,17,23.30%,"8,496","6,958",81.90%,"1,538",18.10%,"1,782",21.00%,132,88,66.70%,44,0.33,55,41.70%,750,698,93.10%,52,6.90%,54,7.20%
COLORADO SCHOOL FOR THE DEAF AND BLIND,82.90%,17.10%,40,19.00%,210,174,82.90%,36,17.10%,40,19.00%,1,1,100.00%,0,0,0,0.00%,134,111,82.80%,23,0.17,26,19.40%,1,0,0.00%,1,100.00%,1,100.00%,210,174,82.90%,36,17.10%,40,19.00%,11,7,63.60%,4,0.36,4,36.40%,0,0,0.00%,0,0.00%,0,0.00%
EAST CENTRAL BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
MOUNTAIN BOCES,82.20%,17.80%,30,18.40%,11,8,72.70%,3,27.30%,3,27.30%,10,9,90.00%,1,0.1,1,10.00%,68,56,82.40%,12,0.18,12,17.60%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,19,11,57.90%,8,0.42,8,42.10%,0,0,0.00%,0,0.00%,0,0.00%
CENTENNIAL BOCES,42.20%,57.80%,167,65.20%,24,9,37.50%,15,62.50%,16,66.70%,12,6,50.00%,6,0.5,6,50.00%,21,7,33.30%,14,0.67,15,71.40%,6,1,16.70%,5,83.30%,6,100.00%,0,0,0.00%,0,0.00%,0,0.00%,15,6,40.00%,9,0.60,9,60.00%,0,0,0.00%,0,0.00%,0,0.00%
NORTHEAST BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
PIKES PEAK BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SAN JUAN BOCES,41.80%,58.20%,35,63.60%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,15,3,20.00%,12,0.80,14,93.30%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,7,5,71.40%,2,28.60%,2,28.60%
SAN LUIS VALLEY BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SOUTH CENTRAL BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SOUTHEASTERN BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
NORTHWEST COLO BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
ADAMS COUNTY BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
RIO BLANCO BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
EXPEDITIONARY BOCES,95.50%,4.50%,19,4.50%,0,0,0.00%,0,0.00%,0,0.00%,8,8,100.00%,0,0,0,0.00%,26,26,100.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,8,8,100.00%,0,0.00%,0,0.00%
GRAND VALLEY BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
MT EVANS BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
UNCOMPAHGRE BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SANTA FE TRAIL BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FRONT RANGE BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
UTE PASS BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
COLORADO DIGITAL BOCES,67.50%,32.50%,"1,003",34.00%,281,192,68.30%,89,31.70%,90,32.00%,91,60,65.90%,31,0.341,32,35.20%,580,299,51.60%,281,0.48,296,51.00%,5,3,60.00%,2,40.00%,3,60.00%,0,0,0.00%,0,0.00%,0,0.00%,5,3,60.00%,2,0.40,2,40.00%,20,16,80.00%,4,20.00%,4,20.00%
FOR DISTRICT WIDE SCHOOL (9980),0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
RIO BLANCO BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
EXPEDITIONARY BOCES,95.50%,4.50%,19,4.50%,0,0,0.00%,0,0.00%,0,0.00%,8,8,100.00%,0,0,0,0.00%,26,26,100.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,8,8,100.00%,0,0.00%,0,0.00%
GRAND VALLEY BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
MT EVANS BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
UNCOMPAHGRE BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SANTA FE TRAIL BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
FRONT RANGE BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
UTE PASS BOCES,0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
COLORADO DIGITAL BOCES,67.50%,32.50%,"1,003",34.00%,281,192,68.30%,89,31.70%,90,32.00%,91,60,65.90%,31,0.341,32,35.20%,580,299,51.60%,281,0.48,296,51.00%,5,3,60.00%,2,40.00%,3,60.00%,0,0,0.00%,0,0.00%,0,0.00%,5,3,60.00%,2,0.40,2,40.00%,20,16,80.00%,4,20.00%,4,20.00%
FOR DISTRICT WIDE SCHOOL (9980),0.00%,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%